b70e72f05a2ef856e19cf8099f5d901c,,男,33岁,硕士, 智互联(深圳)科技有限公司（鼎捷软件）-                            -                                                                            ,-                                技术总监 ,5年工作经验,深圳,-具备Linux下C/C++6年大型云计算系统开发经验，熟悉linux系统的软硬件环境、开发环境以及常用工具具备海量数据的分布式开发经验，对分布式事务、柔性服务、负载均衡、过载保护、平滑扩展等方面有一定积累与认识对虚拟化，大数据等云计算系统的设计架构与实现有深入认知，对移动领域的云主机，云数据分析，云推送，云存储等服务流程的整合和系统设计有一定的实战经验。具有2年以上30人以上的项目及团队管理经验，团队承接的项目历经考验。熟悉使用lua,bash，python，php等脚本语言，熟练掌握openresty的框架并有相应的中大型项目开发经验。-独立搭建Hadoop、Spark，Hbase环境并进行小规模测试。 对业界最新技术有持续关注（InfoQ，GitHub，PingWest，Cnbeta）。 具备良好的分析解决问题的能力，对独立承担的任务和系统进度有把控能力 具有良好的团队协作以及对外沟通能力--,cto或技术总监,全职,深圳,35K,50K,,,,{ 工作经历 :腾讯计算机系统有限公司,2010.03 , 2014.02,高级后台开发工程师,-工作内容：-            毕业后进入腾讯计算机系统有限公司， 先后参与了腾讯网络控制器项目（TNC）和腾讯云虚拟化项目后台（Matrix）的设计和实现，其中TNC项目中，在主力开发离职的情况下，在实习期开始承担了后台的交接工作，完成了TNC项目中两个重要功能：网络设备批量备份和配置扫描。从2011年6月至2014年3月，转入腾讯云虚拟化开发组，负责腾讯云虚拟化后台三个核心模块（collector， network，auditor）的设计和开发，同时配合腾讯网管系统，设计和开发了配合虚拟化生产系统的运营支撑系统OSS。-工作业绩：         -            TNC项目上线后，极大的提高了运营效率，同时作为腾讯基础控制器（TIC）的主要部分，获得当年腾讯卓越运营奖；Matrix 系统上线后，支撑起腾讯云、腾讯开发云平台以及腾讯互娱游戏云平台近6万台虚拟母机，20万台虚拟子机的创建，操作（重启开关机），迁移，销毁，监控等功能，并随团队获得当年腾讯卓越运营奖金奖，个人也在Matrix项目中拿到S（腾讯公司级优秀员工），同时在腾讯四年的考核中，1次S（优秀），5次A（超出预期），1次B（符合预期）。----;摩羯(深圳)科技有限公司/北京触控科技有限公司,2014.02 , 2016.01,软件架构师,-工作内容：         出于创业的想法，加入摩羯科技，先后参与了摩羯大数据处理平台、摩羯推送平台（push.mjyun.com）、触控Appthinning平台的设计和开发，为摩羯推送平台以及触控Appthinning平台的开发经理，负责上述平台后台的技术架构设计和开发实现 工作绩效：            摩羯推送平台目前已经介入累计设备2400多万台，日活跃设备100万台， 推送信息数20万次， 接入CP 200家，目前系统运行稳定，无重大运营事故，同时在摩羯推送的基础上，扩展出摩羯IM Server功能， 吸引了移动端众多有影响力CP（如捕鱼达人2、捕鱼达人3、万千回忆、秦时明月、百度文学）的加入，个人作为技术负责人，负责处理来自各方的技术问题和技术需求，并制定解决方案。         触控Appthinning平台吸引了广大游戏CP的加入，成功将多款知名游戏（如刀塔传奇，梦幻西游，三国杀传奇，剑魂之刃）制作成小包并打出理想的口碑。--;智互联(深圳)科技有限公司（鼎捷软件）,2016.01 , 至今,技术总监,-整个公司技术架构设计和技术团队管理--技术团队的招聘和构建-整个平台后台架构的搭建-技术团队的培养和技能提升机制制定---;},{华中师范大学,本科 , 计算机科学与技术,2007年毕业;华中师范大学,硕士 , 计算机应用技术,2010年毕业;},{腾讯网络控制器项目（TNC）,后台开发工程师,2010.03 , 2011.06,-项目简介：-为腾讯海量网络设备提供自动化的操作控制功能，屏蔽不同厂商，不同型号设备之间配置方式和命令的差异，从而为网络运营人员提供简洁、统一的操作方式。-个人职责：-承接原开发人员的任务，负责网络设备配置的定时备份和恢复功能，同时改进模板的导入模式，实现了模板的批量导入，同时实现了运营人员期待异常配置检测功能。--项目效果：-极大地提高了网络运营人员的运营效率（节省人力4人/天），同时web前台上线之后，作为TIC（腾讯基础控制器）的重要部分，获得腾讯公司卓越运营奖--;腾讯云虚拟化项目（Matrix）,核心模块负责人,2011.05 , 2014.03,-项目简介：-        为腾讯云平台，腾讯开放平台，腾讯互娱游戏云提供后台云主机的创建、操作（重启开关机）、销毁、迁移等基础功能的支持，为公司提高机器利用率，节省运营成本。--个人职责：-        核心研发人员，伴随Matrix 系统V1到V2的变迁，负责数据收集模块，网络配置模块，数据审计模块以及运营支撑系统（OSS）的设计和实现，数据采集模块实现了10W+级服务器的数据采集，网络配置模块实现了云主机网络配置自动化，数据审计模块实现了资源高效的对账和清理，同时独立设计了Matrix 1.0 到Matrix 2.0 的数据迁移方案，实现了系统升级对用户的无感知。--项目效果：-        Matrix系统从开始简单的半手工到V2的全自动化，从V1承载1000台母机到V2承载近6万台母机，20万台虚拟子机，每年为腾讯公司节省运营成本近亿元，同时该项目联合腾讯云项目连获腾讯公司卓越运营奖金奖和腾讯卓越研发奖金奖。--;触控Appthinning平台,技术负责人,2014.03 , 2015.08,-项目简介：-        摩羯科技的两个主要项目之一，负责对在PUSH平台注册的移动应用或者游戏进行精准、定制化的推送，显著提升移动应用和游戏的留存率和回流率。--个人职责：-        负责系统的技术攻关，架构设计与核心模块的开发。包括高并发接入层模块的设计与开发（Cache与频率限制体系等），高效集中的逻辑控制模块的设计和开发（转移链表，超时控制等），以及快速可扩展的数据层的设计和开发（twemproxy +redis），同时在推送功能的基础上，扩展出摩羯IM功能，并实现了后端数据存储的，迁移。--项目效果：-        项目上线后，接入了多款CP，系统达到了16w/s+的推送性能，并打通了摩羯推送和摩羯统计两个平台的功能，实现了基于统计的精准推送，使每款应用的留存率平均提升5%。--;触控Appthinning平台,技术负责人,2015.08 , 至今,-项目简介：-        触控Appthinning平台负责为广大游戏CP、游戏渠道商、广告商提供游戏的瘦身和“点开即玩”服务，提升游戏下载转新率和广告推广效率。--个人职责：-        负责后台部分设计和代码编写，并参入hack模块的技术讨论和定制-项目效果：成功将刀塔传奇、梦幻西游，三国杀传奇，剑魂之刃等多款S级游戏制作成小包--;},{Hadoop/Spark/Hbase/Kafka,熟悉;Lua，Python,熟悉;带团队能力,精通;高性能高并发,精通;C/C++,精通;},{http://t.cn/R5yDJZT,;}
fdd5f0427f0c0eefa353d8a0264bf3a4, 十年以上工作经历，包括五年以上的实施管理经验。 -                                    ,男,36岁,大专, 武汉东智科技股份有限公司-                            -                                                                            ,-                                项目经理 ,10年工作经验,武汉,-十年以上的工作经验，其中包括五年以上的管理经验。能独立完成售前、售中、售后的各项工作,并且成功领导团队实施多个项目。具备很强的沟通、协调能力，能承受较强的工作压力。---,售前/产品经理/项目经理,全职,武汉,10k,15k,----可以在其它城市工作。---,,,{ 工作经历 :北京派得伟业信息技术有限公司,2007.04 , 2008.01,软件开发工程师,-主要负责项目开发，也包括公司其它项目的维护与升级，编写项目的相关文档工作。--;北京梦龙科技有限公司,2008.04 , 2010.10,软件开发/项目经理,-负责整个项目周期的实施。制定项目计划、构建数据库、编写设计方案、开发文档以及负责研发工作。--;武汉三农天地电子商务责任有限公司,2011.06 , 2012.05,项目经理,-负责组建技术部、规范开发流程以及管理制度，还包括软件系统的分析设计、数据库的设计建模，详细设计、开发计划、测试计划的执行,以及部分代码的编写。--;湖北九州通达科技开发有限公司,2012.06 , 2013.09,产品经理,-湖北九州通达科技开发有限公司是中国民营医药商业企业第一名的九州通医药集团股份有限公司（股票代码：600998）的下属子公司。我主要负责需求分析、产品规划、产品研发和实施。--;立得空间信息技术有限公司,2013.10 , 2016.10,项目经理,-负责整个项目实施计划的编制、执行、监控和调整，以及项目的其它支持工作。在项目中与公司各部门、项目外包商以及客户之间的协调工作，整体把控项目的需求、成本、进度、质量，保证项目顺利实施。也负责项目售前及售后工作。--;武汉东智科技股份有限公司,2017.02 , 2017.07,项目经理,-负责银行安防产品线的项目管理工作，包括售前的需求调研、Dome的制作与演示，以及给客户提供技术解决方案，也负责跨部门的沟通协调，推进研发的功能迭代，以及项目现场的培训与实施。--;},{华中师范大学,大专 , 教育,2004年毕业;},{北京新农村示范网-农产品电子交易平台,软件开发,2007.04 , 2007.12,-根据科技部下发课题，搭建农产品电子商务网站平台。主要包括会员申请及管理、会员自主建站、供求信息管理、市场价格信息管理、站内搜索、短信平台、远程采集功能等其它栏目。主要负责短信平台、供求信息管理、站内搜索、远程采集功能设计编码，以及部分数据库、概要和详细文档编写。--;铁道工程交易中心——协同办公平台,软件开发,2008.04 , 2009.11,-该中心主要负责全国所有铁路的施工、监理、物资、代理等的招标工作。系统包括前台网站和后台两部分。前台主要功能是让招投标人可以看到全国的招投标信息，以及招投标进展情况。后台按照合同和招投标法的流程分为：招标计划、招标项目、招标公告、报名、资格预审、招标文件、公告补遗和答疑、开标、评标、合同登记十几个模块。其中还包括了与中国金融认证中心（CFCA）合作，实现了国内首个无纸化合同报表签章网上认证。-我主要负责CA签章认证以及招投标流程中部分模块的功能编码。还参与收集用户需求、撰写相关文档、参与总体设计、代码编写、功能实现以及系统试运行等工作。--;农博商城,项目经理,2011.07 , 2011.12,-农博商城是武汉农业博览会旗下的特色农副产品类B2C电子商务平台。将农博会中的精品推荐给消费者，通过特产与养生社区，推介消费者在这里购买到全国各地特产。-我主要负责统筹整个网站项目技术部分，制定项目计划、构建数据库、编写设计方案、管理项目进度，负责项目技术的整个环节。--;九州通电子病历,产品经理,2012.06 , 2013.09,-产品着力打造了区域医疗信息的共享平台。实现了结构化编辑器,并且质控到工作流的每一个节点。-我主要负责整个产品管理，包括产品需求分析及产品设计,管理开发团队并负责部分开发工作。产品成功在乐昌市实施了十七家卫生院。--;平顶山数字城管项目,项目经理,2015.06 , 至今,-项目分为硬件、软件、数据三部分，采集了平顶山中心城区地图数据，开发了Web平台系统以及手机端应用。-负责整个项目实施管理，以及部分系统日常维护等工作，也负责项目各方的协调工作。--;},{},{}
2febdfe8067fddaa7a0db56af02e4223, 有三年工作活动策划运营经验 -                                    ,男,,本科, 腾讯-                                -                                                                                                            ,-                                    活动策划+商务拓展 ,3年工作经验,深圳,,运营,全职,上海,10k,15k,,,,{ 工作经历 :腾讯,2015.08 , 2017.06,活动策划+商务拓展,;},{武汉大学,其他 , 会计学,2014年毕业;华中师范大学,本科 , 旅游管理,2014年毕业;},{},{},{}
c52ba4dc3f36b59fd942d736a9c2eaa4,,男,29岁,本科, 万达电商-                            -                                                                            ,-                                产品经理 ,4年工作经验,北京,-关注行业热点及资讯，喜爱音乐，会钢琴，常旅行，善思考，学习能力强，逻辑思维清晰，了解交互设计。--,产品经理,全职,北京,15k,25k,,,,{ 工作经历 :国信证券,2011.10 , 2012.07,理财经理,;银泰网,2012.07 , 2012.10,副总裁助理,-1、协助COO协调各部门资源 -2、协助策划活动 -3、撰写竞品分析报告  --;银泰网,2012.10 , 2014.09,产品经理,-负责银泰广告系统前后台产品设计-负责设计及优化网站前台产品线（首页、频道页、特色场馆、列表页、详情页） ---1、评审业务需求，把握产品方向 -2、绘制流程图 -3、设计产品原理 -4、提交需求评审 -5、跟进产品进度，解决工程师开发过程中的问题 -6、测试后验收 -7、根据数据统计分析，优化迭代产品--;万达电商,2015.03 , 2017.02,产品经理,-工作流程：-1、产品立项-2、分析用户需求-3、制定产品主要功能-4、设计产品使用流程-5、设计产品原型及撰写PRD-6、需求评审-7、产品开发-8、验收上线-9、数据分析，优化迭代---工作内容：-1、飞凡app营销活动产品设计；-*bp端活动数据录入模块设计-*app端营销活动展示设计--2、飞凡app优惠券前后端设计；-*bp端优惠券数据录入模块设计-*app端优惠券展示设计-*优惠券领取、核销闭环设计--3、飞凡平台消息推送以及短信平台产品设计；-*bp端消息推送数据录入模块设计-*app端消息接收流程及展示设计-*app端数据埋点工作--4、会员签到产品设计-*设计用户签到规则-*配置签到奖品-*设计签到模块产品--5、参与飞凡成立以来各次大型活动的产品设计；---;},{华中师范大学,本科 , 电子商务,2011年毕业;武汉大学,本科 , 金融学,2011年毕业;},{礼品馆,产品负责人,2012.04 , 2012.08,-为解决用户送礼需求，搭建场馆，并在场馆建立后持续优化。1、购物流程设计2、解决礼品包装尺寸与商品的系统匹配问题3、设计产品馆的首页与单独列表页4、进行需求评审5、跟进产品进度，发现设计中的问题并与工程师一同解决6、产品验收上线7、对礼品馆的优化--;海淘项目,产品负责人,2014.03 , 2014.07,-1、制定项目计划，设立关键里程碑2、项目调研，了解与海淘相关的法律法规与竞品的业务流程3、与海关沟通最新的法规政策4、制定海淘流程5、设计海淘网页原型6、进行需求评审7、跟进产品进度8、产品验收上线9、后续发现问题并优化迭代--;},{英语6级水平,掌握;},{http://www.yintai.com/,;http://channel.yintai.com/gifts,;}
cdc5907317d68abf9a9150140873305f, 校招进入阿里，5年产品运营经验，责任心强，学习能力强。 -                                    ,女,,硕士, 蚂蚁金服-                                -                                                                                                            ,-                                    产品运营 ,5年工作经验,杭州,,运营类,全职,杭州,25k,50k,,,,{ 工作经历 :阿里巴巴中国网络技术有限公司,2012.02 , 2014.01,产品运营,-2012年8月-2014年1月-负责诚信通用户在线续签的相关工作，主要包括：定向售卖运营、数据化内容运营、运营产品化-1.营销策划：通过线上运营通道，采取梯度优惠政策，引导用户自助、提前办理诚信通续费，节省续签销售产能。同时监控及分析运营效果数据，灵活调整运营策略，优化运营节奏-2.数据化内容运营：主要负责最后优惠梯度用户运营，根据用户所处的生命周期和行为属性，从不同的角度切入，以多元化的内容到达用户，刺激用户行动，形成了一套完善的运营策略，最终超额完成本优惠段续签目标-3.运营产品化：分析常规运营策略及效能的基础上，结合续签意向模型为对用户分层，规划自动化运营策略和详细方案。推动产品端进行系统优化、完善产品功能点以及简化配置流程，最终实现常规运营自动化-收获：数据化运营的思路、跨部门的沟通能力、独立跟进项目的能力--2012年2月-2012年7月-负责实地认证产品线上售卖的相关工作，主要包括：营销活动策划、互动活动推广、产品价值宣传-1.营销活动策划：对业务目标进行分解，根据产品特性和用户属性，制定月度运营计划，跟进后期的活动实现和线上推广；与相关部门合作，开展多种促销活动（团购、限时特惠、抽奖等），保障业务目标的完成-2.产品价值宣传：通过对用户属性和行为数据的分析，策划基于核心功能点的专题活动，提高线上售卖量-收获：扎实的运营基本功、较强的执行力、数据分析能力 --;淘宝中国软件有限公司,2014.02 , 2017.02,产品运营,-负责淘宝摄影市场运营工作，包括市场导购优化、平台引流、市场活动策划、服务商管理等-1.平台运营：基于用户基本属性，结合用户行为数据分析和深度调研，进行平台导购行业化、本地化的升级，并简化线上订购流程，更加贴近用户购买习惯，线上交易体验得到大幅提升。-2.流量引入：整合各部门资源，将摄影市场与淘宝主站搜索结果打通，相关关键词下搜索展示摄影服务，将卖家服务真正融入大淘宝。最终实现交易额从日均3W到200W的飞跃，将平台打造成全网唯一摄影服务平台。-3.活动策划：结合淘内官方大促招商计划，策划相应主题活动，为卖家提供个性化服务；与热门类目保持联动，贴近卖家需求，引导服务商开发新服务类型，促进市场服务多元化发展。-收获：行业认知、项目管理能力、资源整合能力--;蚂蚁金服,2017.02 , 至今,产品运营,-负责支付宝线下支付用户端运营，包括用户生命周期运营，市场活动策划，线上产品策划等-1.用户生命周期运营：结合整体大盘数据和线下调研总结出线下支付用户画像，根据用户不用生命周期和画像指定运营策略和产品方案；并与支付宝会员线，保险，手淘等部门合作，争取更多线下支付权益和用户触达通道，为用户生命周期运营提供更多内容，提升用户对支付宝的忠诚度-2.活动策划：负责权益日，奖励金等线下支付大型活动，策划用户活动流程，通过线上各投放渠道（如合作app，搜索等）为活动造势，并根据用户分层，通过不同通道和内容来触达用户，提升用户活动参与度-3.产品运营：负责优惠地图产品功能以及内容规划，明确产品定位以及核心卖点，推动各兄弟部门打通内容展示链路，撬动更多商家参与进来，确保用户端优质内容的沉淀，实现线下支付场景下，提前锁定用户消费决策-收获：跨部门作战能力、产品体验的敏感度、工作效率的飞跃--;},{湖北经济学院,本科 , 国际旅游与导游,2009年毕业;华中师范大学,硕士 , 旅游规划与景观设计,2012年毕业;},{},{英语六级,精通;AxureRP、PS、Dreamweaver,熟悉;office软件,精通;},{}
4a2f0b5e86e9c8792e6b3fe16e07685c, 多岗位经历，业务技能较为全面，学习接受能力强，效率的沟通 -                                    ,男,33岁,硕士, 华中师范大学-                             -                                                                            ,-                                现代教育技术 ,8年工作经验,深圳,-掌握python，熟悉C/C++，Django框架熟悉html/css/vuejs，掌握Mysql，Oracle，Sqlserver等数据库常用操作，具有多岗位历练经历，能快速融于团队及进行有效的沟通，对新技术具有浓厚兴趣，学习能力强，--,软件开发(python),全职,深圳,10k,15k,,荣誉奖励,--全国优秀指导教师（2014.12），国家级-湖北省教育理论与技术论文一等奖（2015.11）,省级-广水市教学理论与研究论文一等奖（2014.10），市级---,{ 工作经历 :东莞市凤岗嘉辉电子有限公司,2007.08 , 2009.08,系统工程师,;武汉英福软件有限公司,2009.09 , 2012.08,软件工程师,-1-基于多用户、多部门、跨区域的CrystalReport+Sqlserver水晶报表的开发，-2-首要倡导并主导完成生产经营、系统监控等业务自动化处理程序模块，-3-参与企业内部OA系统的二次开发，-4-以首要技术执行人参与MES系统上线、部署等统筹推进，-5-不断完善/开发新的功能组件，-6-针对不断增长的业务需求与纳入管理要求，开发合理、高效、精简的workflow,-7-改善日产百万级数据的数据库调优/提升--;湖北省广水市太平镇中心中学,2012.09 , 2015.08,信息技术专任教师,-1-学员培训子系统考勤管理的开发，-2-数字化校园系统招生子系统学生报名管理模块的开发，-3-数字化校园系统课程资源建设子系统课程资源管理的开发，-3-子系统数据库合理性设计，保证共享数据中心的唯一、完整、准确，-4-分析客户需求，就合理性、可行性、技术实现等方面向上级汇报，-5-据需要远程或实地就系统的使用与业务逻辑对进行必要的使用培训指导，-6-技术文档的整理与完善，--;华中师范大学,2015.09 , 至今,读研,-1-负责信息技术等学科常规教学,-2-参与编制校本信息技术课程建设标准，-3-负责本校信息技术教研活动对外交流，-4-负责指导学生参与各级创客、电脑竞赛等活动，-5-积极探索、运用新的信息技术辅助解决教学中常规性教学任务，-6-辅助信息技术教学手段，对学生的学习情况进行观察、记录，及时与课任老师进行学情分析，促进对学生的指导-7-研究信息技术在不同学科的实践应用，促进信息技术与不同学科的深度整合能力，--;},{兰州理工大学,本科 , 信息管理与信息系统,2007年毕业;华中师范大学,硕士 , 现代教育技术,2018年毕业（预计）;},{},{C/C++,掌握;python,掌握;},{}
02a9f8948e0213c79f48fbafc01509f8, 我想要努力把自己变成锦，才能锦上添花。 -                                    ,女,25岁,大专, 广东职拍科技有限公司-                                -                                                                                                            ,-                                    人事行政专员 ,3年工作经验,深圳,-性格就跟自己这张大众脸一样都能愉快相处(⑉°з°)-♡-偶尔喜欢跟朋友唠唠嗑，到处走走吃吃，追逐下少女心的韩剧及动漫，心血来潮去图书馆熏陶下～～-能畅聊诗和远方，也能废寝忘食的努力向上工作～～-有时文艺心起也会略写几句装装腔(╭☞•́⍛•̀)╭☞-感谢您的目光停留在此刻！思密达～～--,新媒体,全职,深圳,5k,10k,----——平时混迹在知乎，豆瓣，微博，微信公号。-知悉微信发文排班，ppt，photoshop，h5，百度竞价。-运营自己知乎号原创发文。---,,,{ 工作经历 :深圳年年卡网路科技有限公司,2014.04 , 2016.03,人事行政助理,-工作描述：-1、负责入职合同的签订，离职，调任等工作，新员工入职指导；-2、负责办公用品及固定资产的管理和领用；-3、负责协助活动策划及执行；-4、负责考勤的统计汇总，处理考勤异常；-5、协助招聘工作；-6、协助部门的其他辅助工作。--;广东职拍科技有限公司,2016.05 , 至今,人事行政专员,-工作描述：-1、负责全体入职员工的人事档案建立及管理-3、负责人员编制，人员架构，招聘工作，绩效考核-4、负责员工入离职手续办理以及后续情绪跟踪、执行公司相关福利政策，员工生日会、员工聚餐。。。。。-5、负责社保，公积金，制作每月公司整体预算，工资表等-6、每月办公用品和固定资产的购买、管理及领用-7、负责办公日常，处理每月对账及付款跟进-8、完成公司领导交代的其他行政工作-9、在知乎，百度，豆瓣上提高公司知名度，协助策划部的活动实施，部分软文撰写。--;},{华中师范大学,本科 , 汉语言文学,2019年毕业（预计）;},{},{},{}
efaabe76ffcc07e6a0ab2b9aafcda0bc, 您有对人才的渴求，我有对人才的理解，你我若志趣相投，正好。 -                                    ,男,24岁,本科,,,1年工作经验,武汉,,项目经理或产品经理,全职,武汉,5k,10k,----可长期出差。---,,,{ 工作经历 :武汉数文科技有限公司,2016.05 , 至今,项目经理助理,-1，担任小型项目的项目经理。-2，负责大型项目的文档整理，汇报工作准备，协助项目经理与客户进行需求沟通等工作。--;武汉数文科技有限公司,2016.05 , 至今,售前技术支持,-1.售前方案编辑。-2.投标文件编制。-3.产品售后培训。---;},{华中师范大学,本科 , 历史学(文化遗产与文化产业),2016年毕业;},{基于物联网技术的博物馆藏品智能化应用研究,项目经理助理,2016.12 , 2017.02,-本项目为客户申报的科研课题，经费总额18万。我在该项目中担任项目经理，作为承建方代表协助客户完成项目验收。验收内容包括博物馆藏品管理系统上线，相关硬件采购。--;十堰文物局文物综合管理系统,项目经理助理,2016.11 , 2017.04,-软件系统项目总额21万，用于管理文物信息。 我在本项目中承接项目经理职责，负责系统交付使用后，组织培训会议，并作验收回报，敦促客户回款。--;民俗馆客流检测系统项目,项目经理,2017.05 , 2017.06,-项目金额3.6万。项目客户为苏州狮子林管理处，范围为采购4台客流统计设备，并完成设备安装调试。项目成本为1.5万。--;广州规划展览中心网上展览馆项目,售前技术支持,2016.09 , 至今,-该项目中标总额98万。项目内容包括官网、微信公众号开发。--;苏州博物馆文物数字化保护平台项目,售后运维,2016.10 , 至今,-该项目为苏州博物馆基于业务管理，打造国内第一批智慧博物馆试点的管理系统，开发面向观众服务的网站、微信、app，为苏州博物馆信息化，智慧化建设提供全面解决方案。我在本项目中负责售后运维工作。--;无锡博物院网上博物馆项目,售前技术支持,2016.11 , 至今,-该项目中标总额218万，制作内容包括三维数据采集、官网开发。--;黄石群艺馆非物质文化遗产宣教平台项目,售前技术支持,2016.12 , 至今,-该项目中标金额190万，项目内容包括官网，微信公众号，管理系统，录播软硬件采购等内容。--;},{能够单独与客户沟通需求。,掌握;具备高水平文档编辑技能。,掌握;具备基本p图，视频剪辑技能。,掌握;},{}
60bc9500fb3db8509f4b89cafcbddf42, 执行力强的管理者 -                                    ,女,,大专, 拉勾网-                                -                                                                                                            ,-                                    区域销售总监 ,10年以上工作经验,广州,,销售管理,全职,广州,25k,50k,,,,{ 工作经历 :拉勾网,2015.05 , 至今,区域销售总监,;},{华中师范大学,大专 , 信息科学技术,2001年毕业;},{},{},{}
7c4d84f66c9515f577efd6d862cbfc70, 有十二年工作经验，具备良好的分析与沟通能力，以及团队协作能力 -                                    ,男,,本科,,,10年以上工作经验,武汉,-进无止境，努力向前，任何一份工作都需要全力以赴，认真做好身边的每一件事。--,技术经理,全职,武汉,5k,10k,,,,{ 工作经历 :某某电子商务有限公司, , ,技术支持,;武汉瑞码信息技术有限公司,2014.10 , 2016.07,实施工程师,-负责服务器安装与调试，负责网络电话网关的安装与配置，负责crm软件系统的培训与维护，负责电话线路的维护。--;},{华中师范大学,本科 , 教育学,2010年毕业;},{网站制作,负责团队的项目整合,2005.10 , 2005.11,-网站制作，将任务分配给小组成员，协助小组成员完成各自的工作，整合所有成员的模块，完成项目的制作。--;},{英语文档阅读技能,掌握;电脑硬件组装与维护技能,精通;电脑软件安装与维护技能,精通;汽车驾驶技能,精通;},{}
fe51371e483ec8637dd02fef81556c49, 看看 -                                    ,男,33岁,硕士,,,5年工作经验,上海,,工程师,兼职,上海,25k,50k,,,,{ 工作经历 :大众点评,2012.01 , 至今,工程师,-客户端开发--;},{华中师范大学,硕士 , 计算机应用,2010年毕业;},{},{},{}
