6ded35bc3dc18d6ef887a214b455a49b, 5年企业培训项目管理经验，2年互联网学习产品运营经验 -                                    ,女,31岁,硕士, 德莫特尔（北京）教育科技有限公司-                            -                                                                            ,-                                学习架构师/项目集经理/营销运营总监 ,5年工作经验,北京,,培训总监,全职,北京,25k,50k,,,,{ 工作经历 :北京劲马奥通顾问有限公司,2012.06 , 2015.10,咨询顾问,;德莫特尔（北京）教育科技有限公司,2015.11 , 至今,学习架构师/项目集经理/营销运营总监,;},{苏州大学,本科 , 广告学,2009年毕业;霍夫斯特拉大学,硕士 , 市场营销,2012年毕业;},{},{},{}
2a8668b9a8f516a9dfc621e80014d4a4, 资深运营管理、有APP及团队项目创业管理经验 -                                    ,男,35岁,本科, 新浪网技术中国有限公司-山东分公司-                            -                                                                            ,-                                营销策划经理 ,10年工作经验,青岛,-懂文案，精策划，研营销，以学为生。--,移动互联网,全职,青岛,10k,15k,,,,{ 工作经历 :青岛颐中一支笔烟草酒水销售公司,2005.04 , 2008.04,市场渠道资深营销顾问,-青岛地区，三年时间，KA\连锁便利店、批发户、A\B\C类便利店、夜场、商超的渠道开拓、维护及渠道的品牌落地推广、客户商业维护支持，期间公司代理营销的多款FMCG产品达到铺货率和高动销，那个年代互联网营销未普及，基本死磕各种地面打法，赢得地面营销、渠道营销即获得产品通路和临场资源为企业产品打开销路，这段工作经历也为本人奠定了一线真实、深刻、有益的快消品、针对老百姓的营销实战经验。--;青岛华韩投资公司,2008.10 , 2011.02,营销经理,-负责医疗电商的网络推广、在线销售团队的管理、及网络宣传等。--;新浪网技术中国有限公司-山东分公司,2012.08 , 至今,营销策划经理,- O2O商业营销策划、互联网产品营销推广、网媒商业化运营等。                  --;},{苏州大学,本科 , 广告学,2005年毕业;},{},{},{}
2c4fadb369038830aa4906f399804c74, 有趣，热情，有创意的广告人，同时又是文字欲很强的写手。 -                                    ,女,,本科, 广州甲乙广告有限公司-                                -                                                                                                            ,-                                    助理策划总监 ,9年工作经验,广州,,总监级别,全职,广州,15k,25k,-------,,,{ 工作经历 :广州昭阳和牧场广告有限公司,2013.08 , 2015.12,策划总监,;广州甲乙广告有限公司,2016.01 , 至今,助理策划总监,;},{苏州大学,本科 , 广告学,2008年毕业;},{},{},{}
053c98c2c88faae1eaf82c7b781850ed, 手绘功底扎实，造型能力强，较高的审美鉴赏能力。 -                                    ,女,,本科, 苏州七加二网络科技有限公司-                                -                                                                                                            ,-                                    资深UI设计师 ,8年工作经验,苏州,--工作认真、踏实，注重团队的合作协调，有较强的沟通能力、理解能力；-从事过媒体策划/品牌运营/文案编辑/网站设计/平面设计/插画设计/UI设计等工作，创造和实践能力优秀，待人谦和幽默，待事严谨认真；-扎实的美术基础，手绘功底扎实，造型能力强，较高的审美鉴赏能力，良好的素描造型能力、色彩表达能力和文字表达能力；-熟练使用常用办公操作软件及photoshop、Illustrator、Dreamweaver等图片处理软件；-作品浏览：http://wansqt.zcool.com.cn/---,UI设计师/顾问 产品经理/主管 用户体验（UE/UX）设计师,全职,苏州,10k,15k,,商业插画、原画 培训,-2012/11--2013/3 上海明天教育（数字绘画培训基地）-商业儿童插画、原画进行理论与实践为其4个月的全日制培训，内容如下： 1.角色造型：变形的规律、人物造型、动态表现等； 2.角色塑造：颜色搭配规律、人物角色的色彩表现等； 3.场景表现：掌握场景基础透视，构图，前中后黑白灰关系剪影学习及色彩光影处理；场景地图设计，布局，规划合理；绘制场景和故事需要道具等； 4.故事创作：故事中的节奏、色调、道具、图文结合的方法。  -  - --,{ 工作经历 :深圳市车神榜网络科技有限公司,2009.06 , 2012.10,网站策划设计,--整体网站改版策划建设、和技术部完成网站改版。网站从用户体验、引导、交互等方面进行二次优化改版;-专题活动策划（汽车团购活动、双十一优惠活动、各项目特色专题策划）、及推广软文写作; -主要为汽车品牌的直客及代理商提供针对性的媒体传播策略和营销解决方案。服务过的汽车品牌有广汽本田、东风标致雪铁龙、上海通用、上海大众、进口三菱、福特等；-公司活动企划和设计（日常宣传、周年庆活动文案企划、公司宣传片文案策划).---;苏州牙博士口腔门诊部有限公司,2013.03 , 2014.04,资深策划设计,--负责公司网站整站策划和设计（协调管理美工、技术、优化、编辑、推广工作）;-口腔美容系列策划和推广，活动策划、市场分析，根据用户点击优化网站设计，提高用户到店消费的转化率;-专题活动策划（专家门诊、口腔论坛、跨年优惠活动、口腔牙齿美容及各类牙齿疾病专题策划);-与苏州广电及广告公司对接、广告投放;-发布会及展会准备;---;苏州七加二网络科技有限公司,2015.09 , 至今,资深UI设计师,--负责整个网站的美术风格、各端界面、图标的UI设计，把握网站窗口规范，准确整合各大栏目配合开发需求制定开发流程和标准；-MaXi_Race国际越野跑赛事(中国区)整体设计；-App设计，从1.0到3.0不断的进行整合和优化，深入研究各层级UI，优化用户界面、icon等元素设计，及Logo设计。能独立完成App界面的设计、布局、美化、切图。对Android和ios和设计规范和原则有深刻的理解。-活动和赛事PC端、移动端专题策划设计，包括H5页面、活动专题、旅游类企业站的设计，banner设计；-公司活动和赛事的海报、宣传册、物料设计。---;},{湖南化工职业技术学院,大专 , 网络传媒,2008年毕业;苏州大学,本科 , 汉语言文学,2017年毕业;},{牙博士口腔医院网站整体改版,​负责本次项目的管理，包括前期策划、讨论、框架和设计,2013.10 , 2014.01,-牙博士口腔医院网改版，以信息展现、在线问答、专家在线咨询为主要表现形式，从而增加用户粘度、体验度。建立项目数据库、专家数据库、问答数据库，使得网站内容根基稳固。-负责本次项目的管理，包括前期策划、讨论、框架和设计。协调监督美工、技术的配合工作。--;MaXi_Race国际越野跑（中国区网站）,负责整个赛事网站的Web页面和移动端H5页面设计,2016.09 , 2016.11,-MaXi_Race国际越野跑是从法国引入的世界前三的越野跑赛事活动。为MaXi_Race国际越野跑在中国举办赛事和推广赛事做的一个中国地区的赛事平台。--;官方赛事活动和专题,动专题设计和赛事Web端、移动端专题策划设计,2015.09 , 2017.04,-法兰西之巅，国际山地旅游，江山峰会，MaXi_Race赛事，迷笛音乐节，鄂尔多斯马拉松，仙居马拉松，巴塘中法自行车，海螺沟赛事，俱乐部专题......--;乐去App设计,App用户界面的设计，独立完成App界面的设计、布局、美化,2015.11 , 至今,-1.0和2.0是为俱乐部和网友提供旅游、户外活动和户外产品交流的平台，网友通过搜索浏览找到俱乐部的活动进行消费旅游和户外活动。3.0是赛事+户外玩法的结合，整合赛事目的地周边资源，为参赛者、户外爱好者提供赛事报名、酒店预订、周边玩法、景点推荐门票套餐服务的平台。--;},{Dreamweaver,精通;Illustrator,精通;Photoshop,精通;},{http://t.cn/R9LxhC5,部分个人作品;}
f30b81210d2b0a8b725c8fe7db66b6c1, 学习能力和独立钻研能力较强 -                                    ,男,27岁,硕士, 深圳天源迪科信息技术股份有限公司-                            -                                                                            ,-                                iOS开发工程师 ,2年工作经验,上海,--熟练使用Xcode，熟悉Cocoa框架；-具有良好的代码风格和习惯；-具有较强的学习能力和独立解决问题的能力；-熟悉常用算法和设计模式。---,iOS,全职,上海,10k,15k,,,,{ 工作经历 :上海慧勤医疗器械有限公司,2015.06 , 2015.09,iOS开发工程师,-从事电子血压计嵌入式软件设计，以及配套的iOS客户端设计--;深圳天源迪科信息技术股份有限公司,2016.02 , 至今,iOS开发工程师,-iOSApp开发--;},{苏州大学,本科 , 非织造材料与工程,2012年毕业;上海工程技术大学,硕士 , 机电一体化,2016年毕业;},{BPMonitor,独立完成所有功能的开发,2015.06 , 2015.09,-独立完成了iOS客户端的开发，参与了部分服务器后端的开发；-实现了较复杂的历史记录页面的开发，曲线展示用户的血压、心率曲线。--;流量无忧,功能迭代开发与维护,2016.02 , 2016.12,-修复了在网络情况不好的情况下，点击UITableView的自定义Category的背景图片时闪退的bug；-优化了网络请求，减少了服务器的压力--;发票助手,独立完成iOS App的开发,2016.11 , 2017.04,-实现了实时的发票边框检测、与预设方框的对齐情况(发票某一条边与手机屏幕上方框的某一条边对齐时，高亮显示这条边)-较好地实现了发票图片的自动裁剪，使二值化处理后的图片较清晰，噪点较少，又保留了有用信息-克服了既要保持二值化图片的质量，又要让图片占的空间尽可能小的困难，使原本200多KB的图片压缩到几十KB，图片清晰度基本不受影响。--;电信营业厅,负责玩转手机模块的维护工作,2016.02 , 2017.06,-玩转手机是中国电信手机客户端内的一个模块，为H5页面，负责与Web前端配合查找Bug，MyEclipse项目打包、部署，以及服务器的漏洞修复等工作。--;艾益生,独立完成iOS App开发,2017.05 , 2017.08,-艾益生是一个健康养生类App。-项目采用Objective-C开发，在开发中自定义了较多的UI控件，比如Label在底部、ImageView在上面的UIButtton，带有PlaceHolder的UITextView等；-解决了AFNetworking导致的内存泄露问题--;},{JavaScript,熟悉;Java,熟悉;C/C++,掌握;Swift,掌握;Objective-C,精通;},{}
d4b2ed7fae1ed4a02bf4d9d3994d184f, 苏大中文系，擅长各类文稿，熟悉社交媒体。 -                                    ,女,,本科, 苏州三景刺绣股份有限公司-                                -                                                                                                            ,-                                    文案 ,1年工作经验,苏州,-熟悉社交网络，是微信、微博等社交媒体的重度用户。-性格谦和，善于合作；能独立完成内容推送，也能提供辅助。-爱好阅读，有一定的知识面及观察力，擅长挖掘整合信息。-思维有逻辑，兼具感性与理性。-擅长写作，初中起历任校文学社、高新区文学社社长，-作文多次获市、省、全国最高奖。-大学在校时发文数篇于文学院文学社刊《弄潮》。-在校时参加东吴相声社，校外参加京剧研习社。-组织参与每年一度的京剧社团公共演出活动；有一定的行动力。-喜爱传统文化。自学摄影，水平入门。---,文案,全职,苏州,5k,10k,----熟悉社交网络，是微信、微博等社交媒体的重度用户。-爱好阅读，有一定的知识面及观察力，擅长挖掘整合信息。-思维有逻辑，兼具感性与理性。-擅长写作，中学时期作文多次获市、省、全国最高奖。-大学在校时发文数篇于文学院文学社刊《弄潮》。-组织参与每年一度的京剧社团公共演出活动；有一定的行动力。-喜爱传统文化。自学摄影，水平入门。---,,,{ 工作经历 :医影生物纳米技术（苏州）有限公司,2015.03 , 2016.03,总经理助理,-资料查阅、文件归档、访客接待、办公室后勤、-人事招聘、对外交接等。---;苏州同程旅拍国际旅行社有限公司,2016.05 , 2016.07,文案,-负责微信企业号的内容编辑、负责商品详情页面及活动页面的内容编辑等。--;苏州三景刺绣股份有限公司,2016.07 , 2016.11,文案,-负责公司微信订阅号、微博的每日内容发布，-包括产品图片的拍摄处理、推送内容的编辑排版、-与粉丝的互动交流、并主导公司内刊的选编。---;},{苏州大学,本科 , 汉语言文学,2015年毕业;},{},{},{http://t.cn/Ravx5XN,产品描述通稿。;http://t.cn/RavxUQY,公司产品相关知识科普。;http://t.cn/RavxAPf,刺绣作品拍摄推广。;}
248315a34d291777f4fbcd1c640d52dc, 专注优秀产品交付，高效领导移动应用研发团队。 -                                    ,男,,硕士, TCL 通讯-                                -                                                                                                            ,-                                    软件研发中心经理 ,10年以上工作经验,上海,---喜欢理论联系实践，挑战自我，学习成长。愿意参与和构建一个高效学习型团队，做出一个科技与艺术相结合的产品！----,技术总监,全职,上海,25k,50k,,,,{ 工作经历 :上海华为,2007.05 , 2009.09,PL,-负责核心网SGSN云平台SM（SessionManagement）,MM（MobileManagement），MBMS（MultimediaBroadcastMulticastService）,Pool等模块的开发。--;世范软件有限公司,2009.09 , 2011.08,研发总监,-负责上海汽车车联网平台Inkanet2.0的研发。该平台是上海汽车自有品牌荣威550配套的Telematics系统。--;TCL 通讯,2011.09 , 至今,软件研发中心经理,--TCL通讯所经营的TCL和ALCATELONETOUCH两个品牌手机及配件产品销往全球120多个国家和地区，智能手机销量在全球位列第七位。----我部门主要负责SmartCloud平台项目研发，该项目主要是服务于公司ONETOUCH品牌的IoT智能硬件产品，包括年销售过百万单元的智能路由器，CarWifi，智能手表，智能手环等。-我从零组建这个战略部门,根据海外市场的需求和竞品分析，通过智能硬件的技术新架构，定义创新的产品定义，聚焦整体用户体验，交付可穿戴硬件和智能汽车附件。-技术上负责App，Web端，智能云端的技术架构，组建了一个高效率准时交付优秀产品的APP+云平台的软件团队，高质量保障了公司业务的开展。-擅长MicroService分布式架构设计，精通基于DomainDrivenDesign的SaaS业务设计。 --产品定义工具：Axure，Sketch-APP软件平台语言：Objective-C,Swift，Java云平台语言：Golang，Java业务软件框架：SpringMVC，Mybatis，Angularjs，ReactJs分布式软件框架：Netty，Redis，Nsq，Rabbitmq数据库：Mysql，Mongodb---;},{苏州大学,硕士 , 计算机科学与技术,2007年毕业;},{车联网平台Inkanet2.0平台,技术经理,2009.10 , 2011.08,-与上海汽车信息产业有限公司合作，为荣威550设计的Inkanet2.0平台。-功能列表如下：--动态交通-一键导航-照片导航-位置收藏-Send2Car-停车场信息-路书-驾驶行为分析-违章提醒-保养提醒-车队组队应用-多方语音对讲-防盗服务-远程控制---;CareTimeWatch,研发经理,2015.06 , 2016.02,-公司战略级别智能硬件项目，在CES展览会重点推介，并在2015年财报重点提出。-面向欧洲和美国市场的儿童手表项目。已与英国第一大运营商EE合作销售全欧洲市场。-----CareTime是一款专为家长设计、实时监护儿童安全的2G定位手表。搭载全球移动通信系统，操作界面简单易用，能预存十个电话号码，父母可以随时与孩子进行电话或短信沟通。通过内置GPS，Wi-Fi及移动网络三重定位技术，再加上一款可适配iOS和安卓系统的内置云应用软件，能够于60秒内精准获悉孩子所处的位置。当孩子离开安全区域时，CareTime儿童手表将通过ElectricFence应用程序第一时间通知家长。此外，CareTime具备IP65等级的防水防尘功能，续航时间长达4天。---;LTEWatch,研发经理,2015.08 , 2016.03,-与美国acadine公司合作的H5OS智能手表项目。该智能手表基于原先firefox操作系统，类似AppleWatch，功能较为强大。-功能如下：-1.WatchManagement-2.LocationService-3.ActiveMonitoring(batterylevel,lossofcomm,speed,kidinactivity,…)-4.ElectronicFenceManagement-5.VoiceMessageManagement-6.VoiceCommand(call,message,voicemessage)-7.MusicPush-8.DailyActivity(heartbeat,steps,caloriesspending,…)-9.FOTA--;VodofoneSmartLife,研发经理,2015.12 , 2016.05,-该项目是和Vodafone合作开发的Smarthome产品体系。包括DoorSensor，HomeCamera等产品。-主要功能：--Usermanagement-Homecameramanagement-Sensormanament-Videostreamingmanagment---;TCLSmartCloud智慧云项目,研发经理,2012.03 , 至今,-我负责主持设计的MicroService分布式技术架构平台，部署在数十台美欧的AWSServer。大流量的业务服务稳定运行在这个平台上，提供高响应的反馈，提供较好的用户体验。-SaaS：--用户管理-设备管理-文件管理-Sensor管理-运维管理--PaaS:--容器化分布式服务管理平台：Zookeeper，Mesos，Docker-消息队列：NSQ，RabbitMQ-缓存服务：Redis-数据中心：Mongodb，MySQL，HBase-大数据计算：Spark框架，自主研发的社交推荐引擎和FOPDI销售趋势数据分析引擎。-日志管理：基于ELK实现的自主研发的实时监控管理-PushServer:ejabberd+自主研发MQTTserver-FOTA：在线升级服务---;Openmarket电商平台,研发经理,2015.11 , 至今,--面向零售市场的供应链平台。整合公司生产制造中心使用的SAP系统和第三方电商平台的运营信息流，提供C2B模式的高效生产交付计划。-使用FOPDI大数据引擎预测和规划物料需求和订单交付，达到了提高交付效率和减少采购成本的效果。---;},{产品定义,掌握;研发管理,专家;Javascript,精通;Golang，Java,精通;OC,Swift,精通;},{}
de2da3d45cf73faa1714ebb0ccfe4220, 在生活中得到问题的答案 -                                    ,男,24岁,本科, 北京大鱼自助游有限公司-                                -                                                                                                            ,-                                    海外产品运营 ,3年工作经验,北京,,运营经理,全职,北京,10k,15k,,,,{ 工作经历 :美国杰克逊湖度假村（海外实习经历）,2014.05 , 2014.10,冷餐副厨助手,-1.理解工作指令，与来自四大洲不同国家的年轻人协同合作，出色完成了度假村宴会接待工作-2.参加公司组织的厨艺交流大赛，向外籍员工介绍并展示饺子和月饼的制作过程---;苏州礼顿酒店有限公司,2015.05 , 2016.05,销售经理,-1.通过电话、拜访及同行介绍的方式，开发新客户，维护老客户；-2.理解部门市场开发计划，制定个人销售活动计划，并参与了酒店的价格体系制定；-3.参加了一届苏州旅交会，两届苏州婚博会和一届苏州旅行社交流会，为酒店宣传造势，提高酒店销售业绩的同时，结交业界同行，获得了更多的销售渠道；---;北京大鱼自助游有限公司,2016.08 , 2017.05,海外产品运营,-2016.08~2017.05  北京大鱼自助游有限公司（工作）海外产品运营主管-1.熟悉销售、渠道、用户及产品部门工作内容，与各部门配合，并通过数据监测，对APP端及PC端产品负责，对供应链进行管理；-2.分配团队日工作任务，并根据运营中存在的问题组织相关培训-3.制定规则，防止销售人员的作弊行为，并根据实际运营的情况，不断细化规则，规范用户的行为；-4.参与过新用户的推广及对新用户的产品使用培训的活动，并在数据端监测活动成效，为运营方向提供建议；-5.工作语言为英语，需密切地与东南亚供应商展开电话及邮件的联系。---;},{苏州大学,本科 , 旅游管理,2015年毕业;},{},{},{}
305b9b87ff1d21ef625a011277d66c6b, 游戏场景原画设计 -                                    ,男,25岁,本科, 网易-                            -                                                                            ,-                                场景原画设计师 ,3年工作经验,杭州,-擅长场景概念设计个人作品网站：https://www.artstation.com/artist/chencong--,场景原画设计师,全职,成都,15k,25k,,荣誉奖励,-2012作品获得全国，火凤凰杯优秀奖-2014插画作品被苏州艺美术馆收藏--,{ 工作经历 :网易,2014.07 , 至今,场景原画设计师,-场景原画设计师--;},{苏州大学（211工程国家重点）,本科 , 数字媒体艺术设计,2015年毕业;},{龙剑,场景原画设计,2014.05 , 2014.10,-端游--;貂蝉的移动城堡,场景原画设计,2014.11 , 2015.04,-横版手游--;街霸,场景原画,2015.04 , 2016.01,-格斗手游--;无尽战区觉醒,场景原画设计,2016.01 , 2016.04,-3D格斗手游--;舰无虚发,场景原画设计,2016.05 , 至今,-科幻手游--;},{Marmoset Toolbag,精通;keshot,精通;3dcoat,精通;Photoshop,精通;3dmax,精通;},{http://t.cn/RKDKK2T,https://www.artstation.com/artist/chencong;}
af8725aebe77989ec9adfe58c866145c, 你做的是数据统计，还是数据分析 -                                    ,男,27岁,本科, 同程旅游-                            -                                                                            ,-                                数据分析师 ,5年工作经验,苏州,--有独立将一个数据产品从0建设到1的经验；-擅长数据可视化，尤其擅长数据分析报告和ppt的制作；-熟练使用SQL语言，熟悉sqlserver、oracle和hive等数据库；-熟悉互联网行业工作流程；-有一定的h5页面设计和开发的经验；-有志于独立从底层建设到上层应用做一个完整的数据生态链；-在工作中勇于质疑和坚持。---,数据分析类,全职,上海,15k,25k,,,,{ 工作经历 :江苏移动镇江分公司,2012.07 , 2014.04,数据分析师,-在该公司主要负责以下工作：--日常数据调取统计；-市场经营分析报告编写和制作；-用户行为和消费习惯分析，并用于精准营销；-微信、微博等新媒体运营。---;江苏移动电子商务基地,2014.05 , 2015.06,数据分析师,-在该公司主要从事江苏移动12580和生活网站的运营和数据分析工作，主要内容有：--运营活动日常数据调取和统计；-专题运营活动数据分析报告编写；-自动报表开发和服务器维护；-12580和生活网站“品牌街”专项入口运营；-江苏移动电子商务基地“数据中心”项目参与。---;同程旅游,2015.07 , 至今,数据分析师,-在该公司的工作主要从事无线运营部的数据分析和交通火车票的数据分析工作，主要内容如下：--基于同程旅游app的各类主要运营活动的数据统计和分析；-同程旅游app签到频道和抢购频道数据统计和分析；-基于以上相关业务的数据后台设计；-同程旅游签到频道会员体系的设计和搭建；-同程旅游火车票数据仓库设计和建设；-同程旅游数据分析平台“北斗星”系统的设计、开发和维护。---;},{苏州大学,本科 , 通信工程,2012年毕业;},{江苏移动电商基地数据中心,开发,2014.09 , 2015.06,-该项目中我的工作如下：--平台页面的设计；-部分报表的数据清洗。----;无线运营数据平台设计,产品经理,2015.10 , 2016.01,-无线运营数据平台是为了减少日常数据人工调取的工作量，并方便业务人员查看数据的平台，该项目中我的工作如下：--收集和分析各业务人员的对数据的需求，并归纳成有限的类型；-数据展示的dashboard设计；-产品上线后的效果和使用情况跟踪。---;北斗星数据分析平台,产品经理+开发,2016.06 , 至今,-北斗星是提供给同程旅游交通事业部全体业务人员使用的数据查询和分析平台。具体内容如下：--分析和统筹各业务的情况，设计专用于数据分析的数据仓库，并通过大数据工具在hadoop集群中将数据清洗到设计好的仓库里；-根据实际业务情况，理出产品逻辑并设计出清晰的报表思路，然后在Finereport软件实现数据的可视化，生成相关业务报表；-北斗星平台用户管理和权限维护，以及报表有效性和质量的评估；-微信端北斗星平台的开发和设计。----;},{h5,熟悉;finereport,专家;sql,专家;ppt,专家;excel,专家;},{}
