36氪_让一部分人先看到未来,	 ,	 http://36kr.com
扎克伯格正在毁掉硅谷！Facebook“早鸟”系统扼杀初创公司_36氪,	 编者按：本文由微信公众号“新智元”（ID：AI_era）编译，来源：WSJ，华盛顿邮报，名利场，编译,	 http://36kr.com/p/5087799.html
余额宝投资上限一降再降，这个全球最大的货币基金怎么了？_36氪,	 8月11日晚间，天弘基金发布公告称，将从8月14日起，调整余额宝个人交易账户持有额度——上限调整为1,	 http://36kr.com/p/5087802.html
36氪首发 | 首份微信小程序报告发布：下半年进入爆发期，Q4流量总数将达Q1七倍 _36氪,	 8月12日，小程序统计平台阿拉丁发布Q2季度微信小程序报告，目前该平台已经汇集1万名开发者。根据该平,	 http://36kr.com/p/5087805.html
22秒生产一件T恤？Adidas的中国供应商明年就能办到_36氪,	 据外媒报道，阿迪达斯供应商苏州天源服装有限公司宣布，将和美国纺织自动化公司SoftWear Auto,	 http://36kr.com/p/5087800.html
微博暴怒封掉今日头条内容授权接口，第一场遭遇战正式打响_36氪,	 微博和今日头条终于产生了正面冲突。,	 http://36kr.com/p/5087518.html
36氪独家 | “合享新创”获数千万A轮融资，继续打造中国的专利数据库_36氪,	 日前，“合享新创”正式对外宣布，已获得数千万元的A轮融资，投资方为北京市重点产业知识产权运营基金。,	 http://36kr.com/p/5087643.html
36氪首发|“吃个汤”获3000万元A轮融资，汤品会是一门大生意吗？_36氪,	 36氪获悉，我们曾报道过的汤品连锁品牌“吃个汤”已于2017年6月完成3000万元A轮融资，本轮资方,	 http://36kr.com/p/5074734.html
印度年轻人失业不爱找工作，反而做起了创业梦_36氪,	 创业有风险，印度人需谨慎。,	 http://36kr.com/p/5087612.html
在DOTA2中获胜的AI真的比AlphaGo厉害吗？_36氪,	 大数据文摘作品,	 http://36kr.com/p/5087845.html
网易云音乐“被迫下架”后，在线音乐市场会“一家独大”吗？_36氪,	 近日，网易云音乐因《关于版权，我有一些话想跟大家说……》的致歉声明再次被推上舆论的风口浪尖。,	 http://36kr.com/p/5087843.html
商业化后“天眼查”一个月盈亏平衡，2017年营收预计6000万_36氪,	 今年3月份36氪曾报道过，“天眼查”完成了1.3亿元的A轮融资，由中小企业发展基金（江苏南通有限合伙,	 http://36kr.com/p/5084890.html
专访神策数据 CEO 桑文锋：在数据私有化领域，如何做到“特立独行”？_36氪,	 编者按：本文来自于“互联网数据官”（微信号：internetcdo），36氪经授权发布。互联网数据官,	 http://36kr.com/p/5087823.html
生活就是眼前的苟且，偶尔插播诗和远方 _36氪,	 花儿街参考 · 出品,	 http://36kr.com/p/5087780.html
一周互金 | 支付宝8月15日开始向网联切量 ；腾讯上线信用分；余额宝最高限额调整至10万元_36氪,	 余额宝最高限额调整至10万元 ,	 http://36kr.com/p/5087790.html
Update | 灯塔财经获A轮融资，将继续开发“人工智能×证券”应用_36氪,	 36氪获悉，金融科技公司灯塔财经近日完成5500万元A轮融资，由凯泰资本领投，湖北楚天高速及上海复之,	 http://36kr.com/p/5087836.html
雷军：创业公司招人与留人的方法 _36氪,	 编者按：本文来自微信公众号”捕手志“（ID：ibushouzhi），36氪经授权发布，转载请联系出处,	 http://36kr.com/p/5087789.html
京东微联被曝将用户WIFI密码上传至服务器，官方称去年下半年后无此情况_36氪,	 继今年6月1日《中华人民共和国网络安全法》实施，无疑给大数据“黑金”加了个铁栅栏。近日，京东旗下的智,	 http://36kr.com/p/5087837.html
人工智能也睡觉？谷歌DeepMind教会AI"打瞌睡"_36氪,	 编者按：本文选自：TheNextWeb，编译：网易见外智能编译平台，审校：Simone。,	 http://36kr.com/p/5087832.html
小米贷款最新成绩单：放贷额超过160亿，欺诈率接近为零_36氪,	 据零壹财经报道，小米科技联合创始人、副总裁、小米金融负责人洪锋近期透露了小米贷款的最新业务数据——放,	 http://36kr.com/p/5087830.html
